post_shortcode,commenter_username,comment_text,comment_likes
post_shortcode,commenter_username,comment_text,comment_likes
DIcRig7Mrwl,<Profile dcg8792 (72920016012)>,Those Michigan fans are hoping he broke it :face_with_tears_of_joy:,3
DIcRig7Mrwl,<Profile amanda.panda86 (290388067)>,Oh well it happens,3
DIcRig7Mrwl,<Profile chef_yazzie (2404007510)>,Just how he dropped the so called U.S. Democracy :face_with_tears_of_joy:,132
DIcRig7Mrwl,<Profile fabian_is_relevant (44941533083)>,Lmfao metaphor for the state of our country right now.,64
DIcRig7Mrwl,<Profile book.ish.behavior (11603611145)>,We really do have the most inept people in office right now... :woozy_face:,51
DIcRig7Mrwl,<Profile jcbraganza84 (192010535)>,Has he even said thank you yet? :face_with_tears_of_joy:,3
DIcRig7Mrwl,<Profile cl1nt_traveller (8007618711)>,Typical for such a failure of a VP,2
DIcRig7Mrwl,<Profile mraplewis (239101262)>,Trump only hires the best :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,4
DIcRig7Mrwl,<Profile not.of.need (64206185552)>,Yal blind?,1
DIcRig7Mrwl,<Profile angel_elle3 (17982789)>,:face_with_rolling_eyes:,1
DIcRig7Mrwl,<Profile issa_12 (209983915)>,SMH :woman_facepalming_medium_skin_tone:,1
DIcRig7Mrwl,<Profile yashmeen.s (1272539297)>,shouldve handed him a couch!,3
DIcRig7Mrwl,<Profile erikawithak585 (17248291)>,Meow :cat_face:,2
DIcRig7Mrwl,<Profile kenmarc1965 (784131422)>,Maybe it’s Maybelline,0
DIcRig7Mrwl,<Profile miamisicequeen (5757983921)>,That sht was intentional,1
DIcRig7Mrwl,<Profile blessed1204 (1455742856)>,Damn.,3
DIcRig7Mrwl,<Profile mercedes_counihan (52893150)>,There really are no words for him,53
DIcRig7Mrwl,<Profile michellgoodw (1571941493)>,Dufus!,7
DIcRig7Mrwl,<Profile michellgoodw (1571941493)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,9
DIcRig7Mrwl,<Profile adaugherty1986 (2208068436)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,4
DIcRig7Mrwl,<Profile davidlynnanderson (72662171759)>,You have some people  who are never able to get there act together.,4
DIcRig7Mrwl,<Profile selipscomb (2544734704)>,:face_with_tears_of_joy::grinning_face_with_sweat:,1
DIcRig7Mrwl,<Profile sun4308 (21041280)>,Right on par with the rest of the administration.,1
DIcRig7Mrwl,<Profile bravesmom66 (264094152)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,1
DIcRig7Mrwl,<Profile rogerjefferson8 (8148529407)>,I thought this was a skit:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,1
DIcRig7Mrwl,<Profile i_rocckk_js (420634039)>,We not going #gobirds :face_with_tears_of_joy::face_with_tears_of_joy:,2
DIcRig7Mrwl,<Profile cakeandbacon61 (27533040767)>,"The same way they're "" fumbling "" the economy,  foreign relations ,  the stock market,  the immigrant situation, federal  jobs ,and federally funded departments.",3
DIcRig7Mrwl,<Profile sameolsonggg (69517473290)>,Dork,2
DIcRig7Mrwl,<Profile ceddwayne901 (33406142)>,"If he fumbled that trophy, we are doomed for the next 4yrs :man_facepalming_medium-dark_skin_tone:. He can't even handle a trophy, come on, what are we doing here?",1
DIcRig7Mrwl,<Profile odigz76 (1597431770)>,D@mmy,2
DIcRig7Mrwl,<Profile vince_fung (511891077)>,A heartbeat away :grinning_face_with_sweat:,1
DIcRig7Mrwl,<Profile richiemillz (383267973)>,Can’t get right.,1
DIcRig7Mrwl,<Profile dutchbluegemini (53207665881)>,The jokes write themselves sometimes,2
DIcRig7Mrwl,<Profile 404onemike (7770187)>,Putz,5
DIcRig7Mrwl,<Profile joshuadarko (33329265)>,Of course,3
DIcRig7Mrwl,<Profile rafasoyyo111 (7712188645)>,:face_with_tears_of_joy:,2
DIcRig7Mrwl,<Profile flowerchild1984 (365269759)>,Deport please,0
DIcRig7Mrwl,<Profile sachin__kishor (47802997720)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,1
DIcRig7Mrwl,<Profile flyjrb (12131102546)>,:face_with_tears_of_joy::clown_face:,3
DIcRig7Mrwl,<Profile joshuah85 (253481858)>,What a tool. Haha.,3
DIcRig7Mrwl,<Profile mikegadawg (22303228)>,Too much eyeliner. :eyes:,3
DIcRig7Mrwl,<Profile lax_fatson (11241357)>,"Oh too heavy , help :clown_face:",3
DIcRig7Mrwl,<Profile gibson.barker (9770846172)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,3
DIcRig7Mrwl,<Profile claytonfonseca84 (4116435010)>,:face_with_tears_of_joy:,3
DIcRig7Mrwl,<Profile soubelle23 (8358794004)>,I'm not surprised.  It should not have been in his hands.  Where was the Trumpster?,9
DIcRig7Mrwl,<Profile greg_with_2_gs (969348282)>,He was expecting a sofa cushion,5
DIcRig7Mrwl,<Profile thismamasworld11 (613812112)>,The eyeliner obstructed his view.,5
DIcRig7Mrwl,<Profile 0westeyes0 (7617218602)>,Low energy vp,20
DIcRig7Mrwl,<Profile aaronhew (10031928)>,He always looked like a spazz,7
DIcRig7Mrwl,<Profile m_ojeda34 (287770253)>,What a clown,0
DIcRig7Mrwl,<Profile hendersap (8419731894)>,I bet if Biden did it MAGA would be running insane,0
DIcRig7Mrwl,<Profile sweeetogeri (1399232802)>,Hahahahaha,0
DIcRig7Mrwl,<Profile sabrina_ries (484605432)>,Ahole,0
DIcRig7Mrwl,<Profile jasonag26 (71018923689)>,Did u even say thank u,9
DIcRig7Mrwl,<Profile wardfederer (24031152324)>,Hillbilly is as hillbilly does.,2
DIcRig7Mrwl,<Profile 19lamechita77 (5518401066)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
DIcRig7Mrwl,<Profile koko97944 (73103656529)>,Silly :face_vomiting:,0
DIcRig7Mrwl,<Profile juliedf29 (212845934)>,Why does it come apart so easily?,0
DIcRig7Mrwl,<Profile slocricchio (6028128)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
DIcRig7Mrwl,<Profile justherb (181514319)>,Symbolic,0
DIcRig7Mrwl,<Profile angelarector89 (16175723)>,Loooserrrr,0
DIcRig7Mrwl,<Profile hugh_matt (8985380765)>,It literally broke in half while he received it lol. But of course mainstream media twists it. Anything to go against Trump & Vance. Do better @usatoday,0
DIcRig7Mrwl,<Profile mrejones0212 (33620796)>,He dropped the economy in basically the same way except there's no Buckeyes around to catch it for him. What a disgrace!,0
DIcRig7Mrwl,<Profile frigga19 (222129860)>,What a pos,0
DIcRig7Mrwl,<Profile felixfree1 (608803993)>,,1
DIcRig7Mrwl,<Profile sanchezjoea (9025213368)>,JD Vance is an Oops… :man_facepalming_light_skin_tone::face_with_tears_of_joy::face_with_tears_of_joy:,2
DIcRig7Mrwl,<Profile nick_allegrezza (5404994747)>,Literally the other guy pulling it apart :face_with_tears_of_joy:,2
DIcRig7Mrwl,<Profile low.keyslay (72968079174)>,:clown_face::clown_face::clown_face:,3
DIcRig7Mrwl,<Profile whysosubtle13 (44237028)>,How was this his fault? It literally came out of what it was supposed to be supported on :face_with_tears_of_joy::face_with_tears_of_joy:,1
DIcRig7Mrwl,<Profile mrelijah1 (27340888)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,4
DIcRig7Mrwl,<Profile cjd99_ (483103102)>,JD Vance what an L lmaoooo,3
DIcRig7Mrwl,<Profile thelifeofmelanie12 (12173088778)>,What a useless turd.,0
DIcRig7Mrwl,<Profile dontridedirty (467473224)>,Boy that left a bruise,2
DIcRig7Mrwl,<Profile jaybird_1128 (244966954)>,F him and F Ohio State Suckeyes,0
DIcRig7Mrwl,<Profile nubian_chyna27 (51148492365)>,B.D.A.,2
DIcRig7Mrwl,<Profile eleeusc (17800960)>,Fumbllllleeeeee!!!,4
DIcRig7Mrwl,<Profile lisamarwhit (1748901875)>,@gatorsmbk please don’t let them touch the trophy,0
DIcRig7Mrwl,<Profile coopboy2000 (2250603505)>,:face_with_tears_of_joy:,3
DIcRig7Mrwl,<Profile aidapitab (1287596008)>,Sue him!,2
DIcRig7Mrwl,<Profile tammy_turtle_1973 (2319383042)>,Right because humans don't drop things!!,1
DIcRig7Mrwl,<Profile sanelalalala (1440506532)>,"inept JD Vance, like his amigos",1
DIcRig7Mrwl,<Profile madaoyuan (8194761407)>,Penitente,1
DIcRig7Mrwl,<Profile tj_13 (53317903)>,Loser!!!:face_with_tears_of_joy:,0
DIcRig7Mrwl,<Profile safe._gospel_according_to_seth (10102184034)>,Dropped another trophy? :trophy: www.wwltv.com/shattered,0
DIcRig7Mrwl,<Profile misstoledo83 (555671585)>,SDE,1
DIcRig7Mrwl,<Profile andrea_brynn (236602151)>,What a mook.,1
DIcRig7Mrwl,<Profile lotos242 (37505909)>,Show an analogy to how Trump handled Covid,1
DIcRig7Mrwl,<Profile hamilton.jordan.31 (1518585423)>,Karma,1
DIcRig7Mrwl,<Profile mc2056 (2362216389)>,:clown_face: wow,1
DIcRig7Mrwl,<Profile fidoseofreality (243125385)>,Metaphor alert,1
